,participant,LYTIS_1,religija_1,shs_1,shs_2,shs_3,shs_4,score_1,vaikyste_1,vaikyste_2,vaikyste_3,vaikyste_4,vg_1,DN1_1,DN1_2,DN1_3,DN1_4,DN1_5,DN1_6,DN1_7,DN1_8,DN1_9,DN1_10,DN1_11,DN1_12,DN1_13,DN1_14,DN1_15,DN1_16,DN1_17,DN1_18,DN1_19,DN1_20,DN1_21,DN1_22,DN1_23,DN1_24,DN1_25,DN1_26,DN1_27,DN1_28,DN1_29,DN1_30,DN1_31,DN1_32,DN1_33,DN1_34,DN1_35,pripazinimas_1,meile_1,pasiekimai_1,perfekcionizmas_1,atlygiolaukimas_1,galia_1,autonomija_1,TIME_start,TIME_end,TIME_total
10,s.54c78a9b-920a-4c08-b40f-3a92c799352e.txt,2.0,5.0,6.0,6.0,6.0,6.0,6.0,3.0,4.0,3.0,5.0,3.75,3.0,2.0,3.0,2.0,3.0,5.0,4.0,3.0,1.0,3.0,4.0,3.0,4.0,1.0,2.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,1.0,2.0,2.0,5.0,4.0,3.0,2.0,0.0,-5.0,-5.0,-2.0,-1.0,-4.0,-1.0,2023-12-04-11-50,2023-12-04-12-00,10.0
11,s.e4852ff5-c42b-4457-88d7-e1e72bc43575.txt,1.0,6.0,6.0,7.0,6.0,7.0,6.5,5.0,4.0,3.0,5.0,4.25,2.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,4.0,5.0,4.0,1.0,2.0,4.0,3.0,1.0,4.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,4.0,2.0,3.0,5.0,3.0,2.0,3.0,0.0,-3.0,-7.0,-3.0,-2.0,0.0,-3.0,2023-12-12-10-10,2023-12-12-10-18,8.0
12,s.8b97d0bb-c718-46bb-a0d6-5f1f364727f8.txt,2.0,4.0,3.0,1.0,4.0,2.0,2.5,7.0,7.0,7.0,6.0,6.75,1.0,3.0,4.0,5.0,5.0,2.0,2.0,2.0,5.0,5.0,3.0,2.0,2.0,5.0,2.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,1.0,3.0,3.0,3.0,5.0,2.0,4.0,4.0,3.0,4.0,7.0,7.0,3.0,5.0,2.0,4.0,2.0,2023-12-07-19-59,2023-12-07-20-08,9.0
13,s.06447cf7-016c-4011-b076-38a3614cbc41.txt,2.0,3.0,4.0,5.0,3.0,5.0,4.25,4.0,6.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-02-11-11,,
14,s.3a1336e3-1597-4c2f-8500-9cc7408d9023.txt,1.0,1.0,3.0,4.0,2.0,4.0,3.25,3.0,3.0,2.0,3.0,2.75,3.0,3.0,2.0,2.0,1.0,5.0,5.0,5.0,1.0,2.0,5.0,4.0,5.0,3.0,2.0,5.0,3.0,1.0,4.0,3.0,3.0,2.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,1.0,4.0,5.0,4.0,2.0,4.0,-4.0,-9.0,-6.0,-3.0,3.0,-6.0,-2.0,2023-12-02-10-26,2023-12-02-10-33,7.0
15,s.9060ad50-1fdd-49e5-80cd-1765846c3620.txt,1.0,1.0,7.0,6.0,5.0,7.0,6.25,1.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,4.0,1.0,5.0,4.0,5.0,1.0,4.0,2.0,1.0,4.0,2.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,2.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,3.0,0.0,-6.0,1.0,2.0,1.0,-2.0,-1.0,2023-12-12-00-47,2023-12-12-00-59,12.0
16,s.d043903c-b82c-4560-bc58-05d5851d5f25.txt,1.0,3.0,6.0,6.0,6.0,6.0,6.0,7.0,3.0,2.0,5.0,4.25,2.0,2.0,2.0,5.0,1.0,4.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,2.0,3.0,2.0,1.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,-2.0,-4.0,6.0,1.0,1.0,-3.0,2024-03-01-15-14,,
17,s.8fbd1dc2-33d6-4275-b8ce-5aab174a6104.txt,2.0,7.0,4.0,3.0,4.0,6.0,4.25,4.0,7.0,3.0,6.0,5.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0,3.0,1.0,4.0,2.0,4.0,3.0,2.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,1.0,5.0,3.0,2.0,2.0,5.0,3.0,2.0,1.0,5.0,2.0,2.0,3.0,0.0,0.0,-1.0,1.0,-2.0,-1.0,-2.0,2024-03-01-08-23,,
18,s.fb1702f1-ce6a-4dd7-a313-b0ca9e762908.txt,2.0,5.0,3.0,6.0,3.0,3.0,3.75,6.0,5.0,5.0,5.0,5.25,2.0,2.0,2.0,2.0,3.0,2.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0,2.0,2.0,5.0,4.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,4.0,5.0,2.0,4.0,1.0,1.0,4.0,4.0,4.0,3.0,5.0,0.0,-2.0,-2.0,-8.0,-3.0,-6.0,1.0,2023-12-02-14-21,2023-12-02-14-31,10.0
19,s.950b2846-5257-4567-8cb5-ebd63600d006.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-01-08-54,,
